kernel,bop/s,elapsed_ms,ndim,n_vectors,n_queries,knn
JACCARD_B128_VPSHUFB_PRECOMPUTED_PDX,146.44916186934984,0.008950000008667303,128,512,10,10
JACCARD_U64X2_C,133.85484218075112,0.09792099999117454,128,512,100,10
JACCARD_B128_VPSHUFB_SAD,60.74841723855655,0.21576199999628898,128,512,100,10
JACCARD_B128_VPOPCNTQ,83.01423133647617,0.15789100000063172,128,512,100,10
JACCARD_B128_VPOPCNTQ_VPSHUFB,69.81161218901522,0.18775099999857048,128,512,100,10
JACCARD_B128_VPOPCNTQ_PRECOMPUTED,131.2675887050052,0.09985100000164948,128,512,100,10
JACCARD_B128_VPSHUFB_SAD_PRECOMPUTED,83.13480737677196,0.15766199999234232,128,512,100,10
JACCARD_B128_VPOPCNTQ_PDX,151.09164263675203,0.08675000000835098,128,512,100,10
JACCARD_B128_VPSHUFB_PDX,132.43475361483942,0.09897099999989223,128,512,100,10
JACCARD_B128_VPOPCNTQ_VPSHUFB_PDX,141.4379903247343,0.09267099999021866,128,512,100,10
JACCARD_B128_VPOPCNTQ_PRECOMPUTED_PDX,161.51618589725467,0.08115099998917685,128,512,100,10
JACCARD_B128_VPSHUFB_PRECOMPUTED_PDX,146.70979728363722,0.08934100000601575,128,512,100,10
JACCARD_U64X2_C,60.822273863268876,0.004309999994234204,128,1024,1,10
JACCARD_B128_VPSHUFB_SAD,43.69066667349471,0.005999999999062311,128,1024,1,10
JACCARD_B128_VPOPCNTQ,64.72691356197288,0.004050000001143417,128,1024,1,10
JACCARD_B128_VPOPCNTQ_VPSHUFB,56.49655172143189,0.004640000000222244,128,1024,1,10
JACCARD_B128_VPOPCNTQ_PRECOMPUTED,66.0146059233167,0.003970999998159641,128,1024,1,10
JACCARD_B128_VPSHUFB_SAD_PRECOMPUTED,56.987826125204904,0.004599999996912629,128,1024,1,10
JACCARD_B128_VPOPCNTQ_PDX,81.15913301761927,0.003230000004350586,128,1024,1,10
JACCARD_B128_VPSHUFB_PDX,69.71914896463284,0.0037599999984649912,128,1024,1,10
JACCARD_B128_VPOPCNTQ_VPSHUFB_PDX,84.8362457631167,0.003090000006977789,128,1024,1,10
JACCARD_B128_VPOPCNTQ_PRECOMPUTED_PDX,91.98035083423801,0.0028500000013309545,128,1024,1,10
JACCARD_B128_VPSHUFB_PRECOMPUTED_PDX,81.92000013406854,0.0031999999947629476,128,1024,1,10
JACCARD_U64X2_C,154.47495576490073,0.016970000004334906,128,1024,10,10
JACCARD_B128_VPSHUFB_SAD,63.93600156156692,0.04100099999959639,128,1024,10,10
JACCARD_B128_VPOPCNTQ,97.77844090116425,0.026809999994270584,128,1024,10,10
JACCARD_B128_VPOPCNTQ_VPSHUFB,77.07624001507759,0.034011000010991665,128,1024,10,10
JACCARD_B128_VPOPCNTQ_PRECOMPUTED,128.31326485571714,0.02042999999218864,128,1024,10,10
JACCARD_B128_VPSHUFB_SAD_PRECOMPUTED,93.22001351397934,0.028120999999714513,128,1024,10,10
JACCARD_B128_VPOPCNTQ_PDX,182.29763547436124,0.014380000010305594,128,1024,10,10
JACCARD_B128_VPSHUFB_PDX,154.8399291105283,0.01693000000102529,128,1024,10,10
JACCARD_B128_VPOPCNTQ_VPSHUFB_PDX,172.46315781419625,0.015200000007098424,128,1024,10,10
JACCARD_B128_VPOPCNTQ_PRECOMPUTED_PDX,196.95266716853317,0.013309999999933098,128,1024,10,10
JACCARD_B128_VPSHUFB_PRECOMPUTED_PDX,168.46218111662603,0.015560999997887848,128,1024,10,10
JACCARD_U64X2_C,151.07335712087485,0.1735209999935705,128,1024,100,10
JACCARD_B128_VPSHUFB_SAD,63.15901063457946,0.4150540000011915,128,1024,100,10
JACCARD_B128_VPOPCNTQ,92.55745472755822,0.28322299999672396,128,1024,100,10
JACCARD_B128_VPOPCNTQ_VPSHUFB,72.13589321058319,0.36340299999437775,128,1024,100,10
JACCARD_B128_VPOPCNTQ_PRECOMPUTED,135.11045139051419,0.19402200000229186,128,1024,100,10
JACCARD_B128_VPSHUFB_SAD_PRECOMPUTED,91.03075635596494,0.2879729999989422,128,1024,100,10
JACCARD_B128_VPOPCNTQ_PDX,182.4600478777095,0.14367200000720004,128,1024,100,10
JACCARD_B128_VPSHUFB_PDX,155.60093071976243,0.1684719999985873,128,1024,100,10
JACCARD_B128_VPOPCNTQ_VPSHUFB_PDX,167.4378201598434,0.1565620000008039,128,1024,100,10
JACCARD_B128_VPOPCNTQ_PRECOMPUTED_PDX,197.63272566601586,0.13264200001117388,128,1024,100,10
JACCARD_B128_VPSHUFB_PRECOMPUTED_PDX,175.48684236957206,0.14938099999994847,128,1024,100,10
JACCARD_U64X2_C,107.95846952857188,2.4281930000000784,128,1024,1000,10
JACCARD_B128_VPSHUFB_SAD,53.70465064441713,4.881216000001132,128,1024,1000,10
JACCARD_B128_VPOPCNTQ,72.55609213879524,3.612984000000097,128,1024,1000,10
JACCARD_B128_VPOPCNTQ_VPSHUFB,60.625753502900025,4.323971000005145,128,1024,1000,10
JACCARD_B128_VPOPCNTQ_PRECOMPUTED,144.0570900078927,1.8197229999969977,128,1024,1000,10
JACCARD_B128_VPSHUFB_SAD_PRECOMPUTED,74.25517227511726,3.5303129999988414,128,1024,1000,10
JACCARD_B128_VPOPCNTQ_PDX,110.50376792127024,2.3722629999980427,128,1024,1000,10
JACCARD_B128_VPSHUFB_PDX,102.61709930090991,2.554583999994975,128,1024,1000,10
JACCARD_B128_VPOPCNTQ_VPSHUFB_PDX,107.48967825335399,2.4387830000023314,128,1024,1000,10
JACCARD_B128_VPOPCNTQ_PRECOMPUTED_PDX,116.82459776735386,2.243910999993659,128,1024,1000,10
JACCARD_B128_VPSHUFB_PRECOMPUTED_PDX,109.36601720005369,2.3969420000042874,128,1024,1000,10
JACCARD_U64X2_C,93.12397861985518,0.0056300000039755105,128,2048,1,10
JACCARD_B128_VPSHUFB_SAD,50.60694978477771,0.01036000000453896,128,2048,1,10
JACCARD_B128_VPOPCNTQ,77.66079098467566,0.006751000000804197,128,2048,1,10
JACCARD_B128_VPOPCNTQ_VPSHUFB,63.31980674057826,0.008280000002969246,128,2048,1,10
JACCARD_B128_VPOPCNTQ_PRECOMPUTED,91.18052174399075,0.0057499999996935,128,2048,1,10
JACCARD_B128_VPSHUFB_SAD_PRECOMPUTED,71.9089287882261,0.007291000002851433,128,2048,1,10
JACCARD_B128_VPOPCNTQ_PDX,124.83047642116914,0.00419999999223819,128,2048,1,10
JACCARD_B128_VPSHUFB_PDX,107.87818952230727,0.004859999990003416,128,2048,1,10
JACCARD_B128_VPOPCNTQ_VPSHUFB_PDX,127.87512200813929,0.004099999998175008,128,2048,1,10
JACCARD_B128_VPOPCNTQ_PRECOMPUTED_PDX,126.63961348115652,0.004140000001484623,128,2048,1,10
JACCARD_B128_VPSHUFB_PRECOMPUTED_PDX,116.25011095312027,0.004509999996571423,128,2048,1,10
JACCARD_U64X2_C,170.3893402937778,0.030769999995072794,128,2048,10,10
JACCARD_B128_VPSHUFB_SAD,68.23912222822432,0.07683100000122067,128,2048,10,10
JACCARD_B128_VPOPCNTQ,100.34028056953308,0.05225099999961458,128,2048,10,10
JACCARD_B128_VPOPCNTQ_VPSHUFB,81.72717494192717,0.06415100000367602,128,2048,10,10
JACCARD_B128_VPOPCNTQ_PRECOMPUTED,138.77395447494428,0.03777999999954318,128,2048,10,10
JACCARD_B128_VPSHUFB_SAD_PRECOMPUTED,98.36547841534701,0.05330000000469681,128,2048,10,10
JACCARD_B128_VPOPCNTQ_PDX,160.82453989075017,0.0325999999972737,128,2048,10,10
JACCARD_B128_VPSHUFB_PDX,172.6335198947743,0.03037000000460921,128,2048,10,10
JACCARD_B128_VPOPCNTQ_VPSHUFB_PDX,195.48396717260508,0.026820000002203415,128,2048,10,10
JACCARD_B128_VPOPCNTQ_PRECOMPUTED_PDX,220.27982006679875,0.023801000011758333,128,2048,10,10
JACCARD_B128_VPSHUFB_PRECOMPUTED_PDX,193.67861099724766,0.027070000001572225,128,2048,10,10
JACCARD_U64X2_C,176.76422693237464,0.29660299999534345,128,2048,100,10
JACCARD_B128_VPSHUFB_SAD,64.9307641155234,0.8074569999934056,128,2048,100,10
JACCARD_B128_VPOPCNTQ,95.66845368826154,0.5480259999899317,128,2048,100,10
JACCARD_B128_VPOPCNTQ_VPSHUFB,75.79515900186118,0.691717000009362,128,2048,100,10
JACCARD_B128_VPOPCNTQ_PRECOMPUTED,141.19839596157655,0.3713130000022602,128,2048,100,10
JACCARD_B128_VPSHUFB_SAD_PRECOMPUTED,94.62913662226741,0.5540450000012243,128,2048,100,10
JACCARD_B128_VPOPCNTQ_PDX,204.0412217060909,0.25695200000086516,128,2048,100,10
JACCARD_B128_VPSHUFB_PDX,174.29033984828376,0.3008129999955145,128,2048,100,10
JACCARD_B128_VPOPCNTQ_VPSHUFB_PDX,183.58515737515535,0.2855830000072501,128,2048,100,10
JACCARD_B128_VPOPCNTQ_PRECOMPUTED_PDX,213.23615540348413,0.24587199999359655,128,2048,100,10
JACCARD_B128_VPSHUFB_PRECOMPUTED_PDX,190.23305261158194,0.2756030000057308,128,2048,100,10
JACCARD_U64X2_C,143.42662614980426,3.655444000003172,128,2048,1000,10
JACCARD_B128_VPSHUFB_SAD,61.318735015774266,8.550208999992037,128,2048,1000,10
JACCARD_B128_VPOPCNTQ,87.06230801609081,6.021985999993262,128,2048,1000,10
JACCARD_B128_VPOPCNTQ_VPSHUFB,70.37461548447253,7.449958999998785,128,2048,1000,10
JACCARD_B128_VPOPCNTQ_PRECOMPUTED,147.08214935027308,3.5645930000072212,128,2048,1000,10
JACCARD_B128_VPSHUFB_SAD_PRECOMPUTED,85.93466619529656,6.101006999998049,128,2048,1000,10
JACCARD_B128_VPOPCNTQ_PDX,156.6328806321307,3.3472410000001673,128,2048,1000,10
JACCARD_B128_VPSHUFB_PDX,135.2071065431674,3.877665999993951,128,2048,1000,10
JACCARD_B128_VPOPCNTQ_VPSHUFB_PDX,145.66537649520808,3.599262999998132,128,2048,1000,10
JACCARD_B128_VPOPCNTQ_PRECOMPUTED_PDX,161.56844859311704,3.244989999998893,128,2048,1000,10
JACCARD_B128_VPSHUFB_PRECOMPUTED_PDX,147.15934974449272,3.5627230000017107,128,2048,1000,10
JACCARD_U64X2_C,128.03125759017445,0.00819000000262804,128,4096,1,10
JACCARD_B128_VPSHUFB_SAD,59.30859728798056,0.017679999999131724,128,4096,1,10
JACCARD_B128_VPOPCNTQ,90.55060444353472,0.01158000000600623,128,4096,1,10
JACCARD_B128_VPOPCNTQ_VPSHUFB,73.32699298809021,0.014300000003686364,128,4096,1,10
JACCARD_B128_VPOPCNTQ_PRECOMPUTED,110.14453790906744,0.009519999991880468,128,4096,1,10
