kernel,bop/s,elapsed_ms,ndim,n_vectors,n_queries,knn
JACCARD_B128_VPSHUFB_PRECOMPUTED_PDX,123.45483640673118,0.010617000015145095,128,512,10,10
JACCARD_U64X2_C,80.31175707017282,0.16320399998903667,128,512,100,10
JACCARD_B128_VPSHUFB_SAD,40.23254529163281,0.3257859999905577,128,512,100,10
JACCARD_B128_VPOPCNTQ,52.75652352626864,0.24844699998993747,128,512,100,10
JACCARD_B128_VPOPCNTQ_VPSHUFB,47.42164350669252,0.27639699999326695,128,512,100,10
JACCARD_B128_VPOPCNTQ_PRECOMPUTED,102.49849463816892,0.12787700001126723,128,512,100,10
JACCARD_B128_VPSHUFB_SAD_PRECOMPUTED,51.12291622995663,0.25638599998956124,128,512,100,10
JACCARD_B128_VPOPCNTQ_PDX,81.02517818402714,0.1617670000086946,128,512,100,10
JACCARD_B128_VPSHUFB_PDX,71.32937155303058,0.18375600001263592,128,512,100,10
JACCARD_B128_VPOPCNTQ_VPSHUFB_PDX,75.85316875754668,0.17279699997629905,128,512,100,10
JACCARD_B128_VPOPCNTQ_PRECOMPUTED_PDX,86.75209149891596,0.15108799999552502,128,512,100,10
JACCARD_B128_VPSHUFB_PRECOMPUTED_PDX,78.82560244813897,0.16628099999138612,128,512,100,10
JACCARD_U64X2_C,51.05043807791942,0.005135000009204305,128,1024,1,10
JACCARD_B128_VPSHUFB_SAD,37.8383371562807,0.006928000004791102,128,1024,1,10
JACCARD_B128_VPOPCNTQ,55.93001919538569,0.004687000000558328,128,1024,1,10
JACCARD_B128_VPOPCNTQ_VPSHUFB,46.79471604023294,0.005602000015869635,128,1024,1,10
JACCARD_B128_VPOPCNTQ_PRECOMPUTED,58.57966446870068,0.004475000025649933,128,1024,1,10
JACCARD_B128_VPSHUFB_SAD_PRECOMPUTED,50.18070438427052,0.005224000005910057,128,1024,1,10
JACCARD_B128_VPOPCNTQ_PDX,78.95903637096868,0.0033199999904809374,128,1024,1,10
JACCARD_B128_VPSHUFB_PDX,74.87689212378886,0.0035010000090096582,128,1024,1,10
JACCARD_B128_VPOPCNTQ_VPSHUFB_PDX,79.07812935712543,0.0033150000149362313,128,1024,1,10
JACCARD_B128_VPOPCNTQ_PRECOMPUTED_PDX,77.32861381642326,0.003389999989167336,128,1024,1,10
JACCARD_B128_VPSHUFB_PRECOMPUTED_PDX,74.38819537730554,0.0035239999931491184,128,1024,1,10
JACCARD_U64X2_C,130.1544114439264,0.02014099999314567,128,1024,10,10
JACCARD_B128_VPSHUFB_SAD,54.06814620380796,0.04848399998991226,128,1024,10,10
JACCARD_B128_VPOPCNTQ,75.09137786667492,0.03490999998234656,128,1024,10,10
JACCARD_B128_VPOPCNTQ_VPSHUFB,64.88231074255377,0.04040299998564478,128,1024,10,10
JACCARD_B128_VPOPCNTQ_PRECOMPUTED,101.62589649508654,0.02579499999910695,128,1024,10,10
JACCARD_B128_VPSHUFB_SAD_PRECOMPUTED,74.45157621153821,0.03521000002137953,128,1024,10,10
JACCARD_B128_VPOPCNTQ_PDX,158.63479570068122,0.016525000006595292,128,1024,10,10
JACCARD_B128_VPSHUFB_PDX,129.0904614186747,0.020306999999775144,128,1024,10,10
JACCARD_B128_VPOPCNTQ_VPSHUFB_PDX,148.78483451355683,0.017619000004742702,128,1024,10,10
JACCARD_B128_VPOPCNTQ_PRECOMPUTED_PDX,164.2300464425507,0.015961999991986886,128,1024,10,10
JACCARD_B128_VPSHUFB_PRECOMPUTED_PDX,145.77323033603977,0.017982999992227633,128,1024,10,10
JACCARD_U64X2_C,100.64268437799852,0.26047000000062326,128,1024,100,10
JACCARD_B128_VPSHUFB_SAD,47.076908709444325,0.5568420000088281,128,1024,100,10
JACCARD_B128_VPOPCNTQ,63.7962755665591,0.41090799999210503,128,1024,100,10
JACCARD_B128_VPOPCNTQ_VPSHUFB,53.75537514856375,0.4876609999939774,128,1024,100,10
JACCARD_B128_VPOPCNTQ_PRECOMPUTED,109.60663633594613,0.2391680000073393,128,1024,100,10
JACCARD_B128_VPSHUFB_SAD_PRECOMPUTED,64.90560431394059,0.4038850000256389,128,1024,100,10
JACCARD_B128_VPOPCNTQ_PDX,106.44101655513013,0.24628100001677922,128,1024,100,10
JACCARD_B128_VPSHUFB_PDX,96.84753414473286,0.2706770000031611,128,1024,100,10
JACCARD_B128_VPOPCNTQ_VPSHUFB_PDX,107.84091095882334,0.24308400000450092,128,1024,100,10
JACCARD_B128_VPOPCNTQ_PRECOMPUTED_PDX,103.06873896305878,0.2543390000084855,128,1024,100,10
JACCARD_B128_VPSHUFB_PRECOMPUTED_PDX,104.59402306928494,0.25062999998226587,128,1024,100,10
JACCARD_U64X2_C,96.50281121780611,2.716438999982529,128,1024,1000,10
JACCARD_B128_VPSHUFB_SAD,45.59447142015399,5.749468999965757,128,1024,1000,10
JACCARD_B128_VPOPCNTQ,59.965010651105175,4.371615999957612,128,1024,1000,10
JACCARD_B128_VPOPCNTQ_VPSHUFB,52.18085743787132,5.023757999992995,128,1024,1000,10
JACCARD_B128_VPOPCNTQ_PRECOMPUTED,109.04828185229263,2.403925999999501,128,1024,1000,10
JACCARD_B128_VPSHUFB_SAD_PRECOMPUTED,61.94065469843138,4.232179999974051,128,1024,1000,10
JACCARD_B128_VPOPCNTQ_PDX,102.11129626536732,2.567237999983263,128,1024,1000,10
JACCARD_B128_VPSHUFB_PDX,89.48659496583005,2.9294220000224414,128,1024,1000,10
JACCARD_B128_VPOPCNTQ_VPSHUFB_PDX,92.9306235652425,2.8208570000174404,128,1024,1000,10
JACCARD_B128_VPOPCNTQ_PRECOMPUTED_PDX,104.846360469919,2.50026800000569,128,1024,1000,10
JACCARD_B128_VPSHUFB_PRECOMPUTED_PDX,94.65838607930317,2.7693690000205606,128,1024,1000,10
JACCARD_U64X2_C,86.37364109092181,0.006069999983537855,128,2048,1,10
JACCARD_B128_VPSHUFB_SAD,44.146850889448864,0.011875999973653961,128,2048,1,10
JACCARD_B128_VPOPCNTQ,63.52695964159137,0.008253000032709679,128,2048,1,10
JACCARD_B128_VPOPCNTQ_VPSHUFB,53.56436452884699,0.009787999999844033,128,2048,1,10
JACCARD_B128_VPOPCNTQ_PRECOMPUTED,74.52565732024398,0.007035000010091608,128,2048,1,10
JACCARD_B128_VPSHUFB_SAD_PRECOMPUTED,56.8333876248357,0.009224999985235627,128,2048,1,10
JACCARD_B128_VPOPCNTQ_PDX,106.84491532786177,0.004907000004550355,128,2048,1,10
JACCARD_B128_VPSHUFB_PDX,39.044384901227936,0.01342799998838018,128,2048,1,10
JACCARD_B128_VPOPCNTQ_VPSHUFB_PDX,102.14065844584485,0.0051330000019333966,128,2048,1,10
JACCARD_B128_VPOPCNTQ_PRECOMPUTED_PDX,111.12505400281198,0.0047179999569380016,128,2048,1,10
JACCARD_B128_VPSHUFB_PRECOMPUTED_PDX,102.5401919477053,0.005112999986067734,128,2048,1,10
JACCARD_U64X2_C,112.83503706312358,0.046465000025364134,128,2048,10,10
JACCARD_B128_VPSHUFB_SAD,54.49639314312086,0.09620600002335777,128,2048,10,10
JACCARD_B128_VPOPCNTQ,81.77306404281431,0.06411499998648651,128,2048,10,10
JACCARD_B128_VPOPCNTQ_VPSHUFB,67.5977308190348,0.07755999996561513,128,2048,10,10
JACCARD_B128_VPOPCNTQ_PRECOMPUTED,89.66786386329173,0.05846999999903346,128,2048,10,10
JACCARD_B128_VPSHUFB_SAD_PRECOMPUTED,81.7960278871645,0.06409700000631346,128,2048,10,10
JACCARD_B128_VPOPCNTQ_PDX,176.27273661705289,0.029742999970494566,128,2048,10,10
JACCARD_B128_VPSHUFB_PDX,134.60193569002826,0.038951000021825166,128,2048,10,10
JACCARD_B128_VPOPCNTQ_VPSHUFB_PDX,156.6769266496073,0.03346300002249336,128,2048,10,10
JACCARD_B128_VPOPCNTQ_PRECOMPUTED_PDX,130.83322923725618,0.04007300003650016,128,2048,10,10
JACCARD_B128_VPSHUFB_PRECOMPUTED_PDX,155.63511154040307,0.033686999984183785,128,2048,10,10
JACCARD_U64X2_C,131.7422386233828,0.39796500004740665,128,2048,100,10
JACCARD_B128_VPSHUFB_SAD,52.137455896545525,1.0055879999981698,128,2048,100,10
JACCARD_B128_VPOPCNTQ,70.81499210740955,0.740362999977151,128,2048,100,10
JACCARD_B128_VPOPCNTQ_VPSHUFB,60.52917774359004,0.8661739999524798,128,2048,100,10
JACCARD_B128_VPOPCNTQ_PRECOMPUTED,111.6556421096857,0.4695580000202426,128,2048,100,10
JACCARD_B128_VPSHUFB_SAD_PRECOMPUTED,74.37732567019981,0.7049030000416678,128,2048,100,10
JACCARD_B128_VPOPCNTQ_PDX,146.18252183370421,0.35865299997794864,128,2048,100,10
JACCARD_B128_VPSHUFB_PDX,123.98912143588376,0.422850000006747,128,2048,100,10
JACCARD_B128_VPOPCNTQ_VPSHUFB_PDX,129.3312020104547,0.40538400003242714,128,2048,100,10
JACCARD_B128_VPOPCNTQ_PRECOMPUTED_PDX,150.39945841327025,0.34859699997014104,128,2048,100,10
JACCARD_B128_VPSHUFB_PRECOMPUTED_PDX,129.53058603243244,0.40475999998079715,128,2048,100,10
JACCARD_U64X2_C,120.65656347194692,4.345291999982237,128,2048,1000,10
JACCARD_B128_VPSHUFB_SAD,51.254041981597815,10.229202999994413,128,2048,1000,10
JACCARD_B128_VPOPCNTQ,69.93987807564082,7.496266999964973,128,2048,1000,10
JACCARD_B128_VPOPCNTQ_VPSHUFB,59.54315961423297,8.805176000009851,128,2048,1000,10
JACCARD_B128_VPOPCNTQ_PRECOMPUTED,111.35377903137986,4.708309000022837,128,2048,1000,10
JACCARD_B128_VPSHUFB_SAD_PRECOMPUTED,71.76465145227091,7.305658000007043,128,2048,1000,10
JACCARD_B128_VPOPCNTQ_PDX,125.36506866097523,4.182090000028893,128,2048,1000,10
JACCARD_B128_VPSHUFB_PDX,112.11380742037693,4.676391000032254,128,2048,1000,10
